idProposicao,siglaTipo,nomeProposicao,ementa,dataApresentacao,casaOrigem,nomeAutor,regimeTramitacao,descricaoSituacao,urlInteiroTeor
2236273,PL,PL 8/2020,"Acrescenta o § 2-A ao art. 4º da Lei nº 6.932 de 7 de julho de 1981, para permitir licença para afastamento da residência médica, pelo prazo de 30 meses, por motivo justificado. ",2020-02-03T15:25:00Z,CD,Carla Zambelli,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853656
2236274,REQ,REQ 2/2020,"Requer seja convocado o Secretário Especial de Comunicação Social da Secretaria-Geral da Presidência da República (SECOM) para, em Comissão Geral, prestar explicações sobre contratações e gastos de recursos públicos com a comunicação social do governo. NA",2020-02-03T15:25:00Z,CD,Alessandro Molon,,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853658
2236275,REQ,REQ 3/2020,"Requer a convocação do Sr. Paulo Guedes, Ministro de Estado da Economia, para, em Comissão Geral, prestar explicações sobre os problemas na concessão de benefícios do INSS. NA",2020-02-03T15:26:00Z,CD,Alessandro Molon,,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853660
2236276,REQ,REQ 4/2020,"Requer a convocação do Sr. Abraham Weintraub, Ministro de Estado da Educação, para, em Comissão Geral, prestar explicações sobre os problemas no Exame Nacional do Ensino Médio (Enem) de 2019. NA",2020-02-03T15:26:00Z,CD,Alessandro Molon,,,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853662
2236277,PDL,PDL 1/2020,"Susta os efeitos da Portaria N° 2.227, de 31 de dezembro de 2019, do Ministério da Educação, que ""Dispõe sobre os procedimentos para afastamento da sede e do país e concessão de diárias e passagens em viagens nacionais e internacionais, a serviço, no âmbito do Ministério da Educação"". ",2020-02-03T15:27:00Z,CD,Alessandro Molon,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853665
2236278,PDL,PDL 2/2020,"Susta os efeitos do Decreto nº 10.206, de 22 de janeiro de 2020, que ""Dispõe sobre a qualificação do Serviço Federal de Processamento de Dados no âmbito do Programa de Parcerias de Investimentos da Presidência da República e sobre a sua inclusão no Programa Nacional de Desestatização"". ",2020-02-03T15:28:00Z,CD,André Figueiredo,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853667
2236279,PDL,PDL 3/2020,"Susta os efeitos do Decreto nº 10.199, de 15 de janeiro de 2020, que ""Dispõe sobre a qualificação da Empresa de Tecnologia e Informações da Previdência no âmbito do Programa de Parcerias de Investimentos da Presidência da República e sobre a sua inclusão no Programa Nacional de Desestatização"". ",2020-02-03T15:28:00Z,CD,André Figueiredo,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853670
2236280,PDL,PDL 4/2020,"Susta os efeitos da Resolução nº 101, de 19 de novembro de 2019, do Conselho do Programa de Parcerias de Investimentos - CPPI, que ""Estabelece procedimentos simplificados para desestatização de empresas de pequeno e médio porte"". ",2020-02-03T15:29:00Z,CD,André Figueiredo,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853673
2236281,PL,PL 9/2020,"Altera a Lei nº 13.146, de 6 de julho de 2015, para dispor sobre o direito de deficientes e respectivos acompanhantes à gratuidade, ou redução, da tarifa do transporte coletivo. ",2020-02-03T15:30:00Z,CD,José Guimarães,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853675
2236282,PL,PL 10/2020,Inscreve o nome do Padre Cícero Romão Batista no Livro dos Heróis da Pátria. ,2020-02-03T15:30:00Z,CD,José Guimarães,,Aguardando Designação de Relator,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853677
2236283,REQ,REQ 5/2020,Requer a realização de Sessão Solene em alusão aos 30 anos do Estatuto da Criança e do Adolescente. NA,2020-02-03T15:31:00Z,CD,Maria do Rosário,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853679
2236284,PL,PL 11/2020,"Altera a Lei nº 9.472, de 16 de julho de 1997, para dispor sobre a possibilidade de cumulação dos serviços de telecomunicações e pacotes de dados de acesso à internet não consumidos no mês de referência. ",2020-02-03T15:31:00Z,CD,José Guimarães,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853681
2236285,REQ,REQ 6/2020,Requer a realização de Sessão Solene em homenagem ao centenário de nascimento do Professor Florestan Fernandes. NA,2020-02-03T15:31:00Z,CD,Maria do Rosário,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853683
2236286,PL,PL 12/2020,"Altera o Decreto-lei nº 3.689, de 3 de outubro de 1941, o Código de Processo Penal Brasileiro, para revogar as regras de implementação do ""juiz das garantias"".. ",2020-02-03T15:32:00Z,CD,Guilherme Derrite,,Tramitando em Conjunto,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853685
2236287,REQ,REQ 7/2020,Requer a realização de Sessão Solene pelos 150 anos de Ordenação Sacerdotal de Padre Cícero Romão Batista. NA,2020-02-03T15:33:00Z,CD,José Guimarães,,Aguardando Despacho do Presidente da Câmara dos Deputados,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1853687
