bill_id,rollcall_id,datetime,url_votacao,legislator_name,legislator_state,legislator_party,legislator_vote,ano
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Wellington Fagundes,MT,PL,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Alvaro Dias,PR,PODEMOS,Não,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Eduardo Girão,CE,PODEMOS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Elmano Férrer,PI,PODEMOS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Lasier Martins,RS,PODEMOS,Não,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Oriovisto Guimarães,PR,PODEMOS,Não,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Romário,RJ,PODEMOS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Rose de Freitas,ES,PODEMOS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Styvenson Valentim,RN,PODEMOS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Ciro Nogueira,PI,PP,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Daniella Ribeiro,PB,PP,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Esperidião Amin,SC,PP,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Luis Carlos Heinze,RS,PP,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Mailza Gomes,AC,PP,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Vanderlan Cardoso,GO,PP,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Renilde Bulhões,AL,PROS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Telmário Mota,RR,PROS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Zenaide Maia,RN,PROS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Jorge Kajuru,GO,PSB,Não,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Leila Barros,DF,PSB,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Veneziano Vital do Rêgo,PB,PSB,MIS,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Zequinha Marinho,PA,PSC,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Angelo Coronel,BA,PSD,LS,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Arolde de Oliveira,RJ,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Carlos Viana,MG,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Irajá,TO,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Lucas Barreto,AP,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Nelsinho Trad,MS,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Omar Aziz,AM,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Otto Alencar,BA,PSD,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Sérgio Petecão,AC,PSD,MIS,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Antonio Anastasia,MG,PSDB,P-NRV,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Izalci Lucas,DF,PSDB,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, José Serra,SP,PSDB,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Mara Gabrilli,SP,PSDB,AP,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Plínio Valério,AM,PSDB,P-NRV,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Roberto Rocha,MA,PSDB,P-NRV,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Rodrigo Cunha,AL,PSDB,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Tasso Jereissati,CE,PSDB,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Flávio Bolsonaro,RJ,PSL,MIS,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Juíza Selma,MT,PSL,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Major Olimpio,SP,PSL,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Soraya Thronicke,MS,PSL,MIS,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Humberto Costa,PE,PT,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Jaques Wagner,BA,PT,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Jean Paul Prates,RN,PT,AP,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Paulo Paim,RS,PT,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Paulo Rocha,PA,PT,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Rogério Carvalho,SE,PT,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Fabiano Contarato,ES,REDE,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Flávio Arns,PR,REDE,Não,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Randolfe Rodrigues,AP,REDE,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Mecias de Jesus,RR,REPUBLICANOS,Sim,2020
141417,6160,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6160, Reguffe,DF,S/Partido,Não,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Alessandro Vieira,SE,CIDADANIA,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Eliziane Gama,MA,CIDADANIA,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Marcos do Val,ES,CIDADANIA,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Chico Rodrigues,RR,DEM,MIS,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Davi Alcolumbre,AP,DEM,Presidente (art. 51 RISF),2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Jayme Campos,MT,DEM,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Marcos Rogério,RO,DEM,P-NRV,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Maria do Carmo Alves,SE,DEM,P-NRV,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Rodrigo Pacheco,MG,DEM,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Confúcio Moura,RO,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Dário Berger,SC,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Eduardo Braga,AM,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Eduardo Gomes,TO,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Fernando Bezerra Coelho,PE,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Jader Barbalho,PA,MDB,AP,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Jarbas Vasconcelos,PE,MDB,MIS,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, José Maranhão,PB,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Luiz do Carmo,GO,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Marcelo Castro,PI,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Marcio Bittar,AC,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Renan Calheiros,AL,MDB,AP,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Simone Tebet,MS,MDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Acir Gurgacz,RO,PDT,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Cid Gomes,CE,PDT,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Kátia Abreu,TO,PDT,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Weverton,MA,PDT,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Jorginho Mello,SC,PL,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Wellington Fagundes,MT,PL,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Alvaro Dias,PR,PODEMOS,Não,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Eduardo Girão,CE,PODEMOS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Elmano Férrer,PI,PODEMOS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Lasier Martins,RS,PODEMOS,Não,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Oriovisto Guimarães,PR,PODEMOS,Não,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Romário,RJ,PODEMOS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Rose de Freitas,ES,PODEMOS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Styvenson Valentim,RN,PODEMOS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Ciro Nogueira,PI,PP,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Daniella Ribeiro,PB,PP,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Esperidião Amin,SC,PP,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Luis Carlos Heinze,RS,PP,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Mailza Gomes,AC,PP,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Vanderlan Cardoso,GO,PP,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Renilde Bulhões,AL,PROS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Telmário Mota,RR,PROS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Zenaide Maia,RN,PROS,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Jorge Kajuru,GO,PSB,Não,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Leila Barros,DF,PSB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Veneziano Vital do Rêgo,PB,PSB,MIS,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Zequinha Marinho,PA,PSC,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Angelo Coronel,BA,PSD,LS,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Arolde de Oliveira,RJ,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Carlos Viana,MG,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Irajá,TO,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Lucas Barreto,AP,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Nelsinho Trad,MS,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Omar Aziz,AM,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Otto Alencar,BA,PSD,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Sérgio Petecão,AC,PSD,MIS,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Antonio Anastasia,MG,PSDB,P-NRV,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Izalci Lucas,DF,PSDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, José Serra,SP,PSDB,Sim,2020
141417,6161,2020-07-30,https://www25.senado.leg.br:443/web/atividade/materias/-/materia/141417/votacoes#votacao_6161, Mara Gabrilli,SP,PSDB,AP,2020
