idProposicao,uri,dataApresentacao,siglaTipo,codTipo,numero,ano,nomeProposicao,indTramitando
141135,http://legis.senado.gov.br/dadosabertos/materia/141135,2020-03-20,PL,,00783,2020,PL 783/2020,Sim
141136,http://legis.senado.gov.br/dadosabertos/materia/141136,2020-03-20,PL,,00784,2020,PL 784/2020,Sim
141262,http://legis.senado.gov.br/dadosabertos/materia/141262,2020-03-26,PL,,00786,2020,PL 786/2020,Não
141139,http://legis.senado.gov.br/dadosabertos/materia/141139,2020-03-20,PL,,00799,2020,PL 799/2020,Sim
141140,http://legis.senado.gov.br/dadosabertos/materia/141140,2020-03-20,PL,,00800,2020,PL 800/2020,Sim
141141,http://legis.senado.gov.br/dadosabertos/materia/141141,2020-03-20,PL,,00801,2020,PL 801/2020,Sim
141142,http://legis.senado.gov.br/dadosabertos/materia/141142,2020-03-20,PL,,00802,2020,PL 802/2020,Sim
141264,http://legis.senado.gov.br/dadosabertos/materia/141264,2020-03-27,PL,,00805,2020,PL 805/2020,Sim
141150,http://legis.senado.gov.br/dadosabertos/materia/141150,2020-03-24,PL,,00825,2020,PL 825/2020,Sim
141154,http://legis.senado.gov.br/dadosabertos/materia/141154,2020-03-20,PL,,00831,2020,PL 831/2020,Sim
141155,http://legis.senado.gov.br/dadosabertos/materia/141155,2020-03-20,PL,,00833,2020,PL 833/2020,Sim
141156,http://legis.senado.gov.br/dadosabertos/materia/141156,2020-03-20,PL,,00835,2020,PL 835/2020,Sim
141158,http://legis.senado.gov.br/dadosabertos/materia/141158,2020-03-20,PL,,00838,2020,PL 838/2020,Sim
141159,http://legis.senado.gov.br/dadosabertos/materia/141159,2020-03-20,PL,,00840,2020,PL 840/2020,Sim
141165,http://legis.senado.gov.br/dadosabertos/materia/141165,2020-03-24,PL,,00867,2020,PL 867/2020,Sim
141167,http://legis.senado.gov.br/dadosabertos/materia/141167,2020-03-24,PL,,00868,2020,PL 868/2020,Sim
141168,http://legis.senado.gov.br/dadosabertos/materia/141168,2020-03-24,PL,,00869,2020,PL 869/2020,Sim
141170,http://legis.senado.gov.br/dadosabertos/materia/141170,2020-03-24,PL,,00870,2020,PL 870/2020,Sim
141171,http://legis.senado.gov.br/dadosabertos/materia/141171,2020-03-24,PL,,00871,2020,PL 871/2020,Sim
141172,http://legis.senado.gov.br/dadosabertos/materia/141172,2020-03-24,PL,,00872,2020,PL 872/2020,Sim
141174,http://legis.senado.gov.br/dadosabertos/materia/141174,2020-03-24,PL,,00873,2020,PL 873/2020,Sim
141176,http://legis.senado.gov.br/dadosabertos/materia/141176,2020-03-24,PL,,00874,2020,PL 874/2020,Sim
141177,http://legis.senado.gov.br/dadosabertos/materia/141177,2020-03-24,PL,,00875,2020,PL 875/2020,Sim
141178,http://legis.senado.gov.br/dadosabertos/materia/141178,2020-03-24,PL,,00876,2020,PL 876/2020,Sim
141180,http://legis.senado.gov.br/dadosabertos/materia/141180,2020-03-24,PL,,00877,2020,PL 877/2020,Sim
141179,http://legis.senado.gov.br/dadosabertos/materia/141179,2020-03-24,PL,,00878,2020,PL 878/2020,Sim
141182,http://legis.senado.gov.br/dadosabertos/materia/141182,2020-03-24,PL,,00879,2020,PL 879/2020,Sim
141183,http://legis.senado.gov.br/dadosabertos/materia/141183,2020-03-24,PL,,00880,2020,PL 880/2020,Sim
141185,http://legis.senado.gov.br/dadosabertos/materia/141185,2020-03-24,PL,,00881,2020,PL 881/2020,Sim
141186,http://legis.senado.gov.br/dadosabertos/materia/141186,2020-03-24,PL,,00882,2020,PL 882/2020,Sim
141187,http://legis.senado.gov.br/dadosabertos/materia/141187,2020-03-24,PL,,00883,2020,PL 883/2020,Sim
141190,http://legis.senado.gov.br/dadosabertos/materia/141190,2020-03-24,PL,,00884,2020,PL 884/2020,Sim
141195,http://legis.senado.gov.br/dadosabertos/materia/141195,2020-03-25,PL,,00888,2020,PL 888/2020,Sim
141196,http://legis.senado.gov.br/dadosabertos/materia/141196,2020-03-25,PL,,00889,2020,PL 889/2020,Sim
141193,http://legis.senado.gov.br/dadosabertos/materia/141193,2020-03-25,PL,,00890,2020,PL 890/2020,Sim
141194,http://legis.senado.gov.br/dadosabertos/materia/141194,2020-03-25,PL,,00891,2020,PL 891/2020,Sim
141197,http://legis.senado.gov.br/dadosabertos/materia/141197,2020-03-25,PL,,00911,2020,PL 911/2020,Sim
141198,http://legis.senado.gov.br/dadosabertos/materia/141198,2020-03-25,PL,,00917,2020,PL 917/2020,Sim
141199,http://legis.senado.gov.br/dadosabertos/materia/141199,2020-03-25,PL,,00943,2020,PL 943/2020,Sim
141200,http://legis.senado.gov.br/dadosabertos/materia/141200,2020-03-25,PL,,00944,2020,PL 944/2020,Sim
141203,http://legis.senado.gov.br/dadosabertos/materia/141203,2020-03-25,PL,,00946,2020,PL 946/2020,Sim
141204,http://legis.senado.gov.br/dadosabertos/materia/141204,2020-03-25,PL,,00949,2020,PL 949/2020,Sim
141205,http://legis.senado.gov.br/dadosabertos/materia/141205,2020-03-25,PL,,00951,2020,PL 951/2020,Sim
141210,http://legis.senado.gov.br/dadosabertos/materia/141210,2020-03-25,PL,,00954,2020,PL 954/2020,Sim
141212,http://legis.senado.gov.br/dadosabertos/materia/141212,2020-03-25,PL,,00961,2020,PL 961/2020,Sim
141213,http://legis.senado.gov.br/dadosabertos/materia/141213,2020-03-25,PL,,00962,2020,PL 962/2020,Sim
141214,http://legis.senado.gov.br/dadosabertos/materia/141214,2020-03-25,PL,,00963,2020,PL 963/2020,Sim
141219,http://legis.senado.gov.br/dadosabertos/materia/141219,2020-03-26,PL,,01006,2020,PL 1006/2020,Sim
141220,http://legis.senado.gov.br/dadosabertos/materia/141220,2020-03-26,PL,,01012,2020,PL 1012/2020,Sim
141222,http://legis.senado.gov.br/dadosabertos/materia/141222,2020-03-26,PL,,01017,2020,PL 1017/2020,Sim
141225,http://legis.senado.gov.br/dadosabertos/materia/141225,2020-03-26,PL,,01027,2020,PL 1027/2020,Sim
141233,http://legis.senado.gov.br/dadosabertos/materia/141233,2020-03-27,PL,,01037,2020,PL 1037/2020,Sim
141234,http://legis.senado.gov.br/dadosabertos/materia/141234,2020-03-27,PL,,01038,2020,PL 1038/2020,Sim
141235,http://legis.senado.gov.br/dadosabertos/materia/141235,2020-03-27,PL,,01039,2020,PL 1039/2020,Sim
141236,http://legis.senado.gov.br/dadosabertos/materia/141236,2020-03-27,PL,,01040,2020,PL 1040/2020,Sim
141240,http://legis.senado.gov.br/dadosabertos/materia/141240,2020-03-27,PL,,01041,2020,PL 1041/2020,Sim
141241,http://legis.senado.gov.br/dadosabertos/materia/141241,2020-03-27,PL,,01042,2020,PL 1042/2020,Sim
141242,http://legis.senado.gov.br/dadosabertos/materia/141242,2020-03-27,PL,,01043,2020,PL 1043/2020,Sim
141243,http://legis.senado.gov.br/dadosabertos/materia/141243,2020-03-27,PL,,01044,2020,PL 1044/2020,Sim
141244,http://legis.senado.gov.br/dadosabertos/materia/141244,2020-03-27,PL,,01045,2020,PL 1045/2020,Sim
141245,http://legis.senado.gov.br/dadosabertos/materia/141245,2020-03-27,PL,,01046,2020,PL 1046/2020,Sim
141246,http://legis.senado.gov.br/dadosabertos/materia/141246,2020-03-27,PL,,01047,2020,PL 1047/2020,Sim
141247,http://legis.senado.gov.br/dadosabertos/materia/141247,2020-03-27,PL,,01048,2020,PL 1048/2020,Sim
141248,http://legis.senado.gov.br/dadosabertos/materia/141248,2020-03-27,PL,,01049,2020,PL 1049/2020,Sim
141249,http://legis.senado.gov.br/dadosabertos/materia/141249,2020-03-27,PL,,01050,2020,PL 1050/2020,Sim
141250,http://legis.senado.gov.br/dadosabertos/materia/141250,2020-03-27,PL,,01051,2020,PL 1051/2020,Sim
141251,http://legis.senado.gov.br/dadosabertos/materia/141251,2020-03-27,PL,,01052,2020,PL 1052/2020,Sim
141252,http://legis.senado.gov.br/dadosabertos/materia/141252,2020-03-27,PL,,01053,2020,PL 1053/2020,Sim
141253,http://legis.senado.gov.br/dadosabertos/materia/141253,2020-03-27,PL,,01054,2020,PL 1054/2020,Sim
141255,http://legis.senado.gov.br/dadosabertos/materia/141255,2020-03-27,PL,,01056,2020,PL 1056/2020,Sim
141256,http://legis.senado.gov.br/dadosabertos/materia/141256,2020-03-27,PL,,01057,2020,PL 1057/2020,Sim
141257,http://legis.senado.gov.br/dadosabertos/materia/141257,2020-03-27,PL,,01058,2020,PL 1058/2020,Sim
141258,http://legis.senado.gov.br/dadosabertos/materia/141258,2020-03-27,PL,,01059,2020,PL 1059/2020,Sim
141259,http://legis.senado.gov.br/dadosabertos/materia/141259,2020-03-27,PL,,01060,2020,PL 1060/2020,Sim
141260,http://legis.senado.gov.br/dadosabertos/materia/141260,2020-03-27,PL,,01061,2020,PL 1061/2020,Sim
141261,http://legis.senado.gov.br/dadosabertos/materia/141261,2020-03-27,PL,,01062,2020,PL 1062/2020,Sim
141265,http://legis.senado.gov.br/dadosabertos/materia/141265,2020-03-27,PL,,01063,2020,PL 1063/2020,Sim
141267,http://legis.senado.gov.br/dadosabertos/materia/141267,2020-03-27,PL,,01064,2020,PL 1064/2020,Sim
141268,http://legis.senado.gov.br/dadosabertos/materia/141268,2020-03-27,PL,,01065,2020,PL 1065/2020,Sim
141270,http://legis.senado.gov.br/dadosabertos/materia/141270,2020-03-27,PL,,01066,2020,PL 1066/2020,Não
141273,http://legis.senado.gov.br/dadosabertos/materia/141273,2020-03-27,PL,,01120,2020,PL 1120/2020,Sim
141274,http://legis.senado.gov.br/dadosabertos/materia/141274,2020-03-27,PL,,01121,2020,PL 1121/2020,Sim
141275,http://legis.senado.gov.br/dadosabertos/materia/141275,2020-03-27,PL,,01122,2020,PL 1122/2020,Sim
141276,http://legis.senado.gov.br/dadosabertos/materia/141276,2020-03-27,PL,,01123,2020,PL 1123/2020,Sim
141277,http://legis.senado.gov.br/dadosabertos/materia/141277,2020-03-27,PL,,01124,2020,PL 1124/2020,Sim
141278,http://legis.senado.gov.br/dadosabertos/materia/141278,2020-03-30,PL,,01125,2020,PL 1125/2020,Sim
141279,http://legis.senado.gov.br/dadosabertos/materia/141279,2020-03-30,PL,,01126,2020,PL 1126/2020,Sim
141280,http://legis.senado.gov.br/dadosabertos/materia/141280,2020-03-30,PL,,01127,2020,PL 1127/2020,Sim
141281,http://legis.senado.gov.br/dadosabertos/materia/141281,2020-03-30,PL,,01128,2020,PL 1128/2020,Sim
141288,http://legis.senado.gov.br/dadosabertos/materia/141288,2020-03-30,PL,,01153,2020,PL 1153/2020,Sim
141292,http://legis.senado.gov.br/dadosabertos/materia/141292,2020-03-30,PL,,01162,2020,PL 1162/2020,Sim
141293,http://legis.senado.gov.br/dadosabertos/materia/141293,2020-03-30,PL,,01163,2020,PL 1163/2020,Sim
141295,http://legis.senado.gov.br/dadosabertos/materia/141295,2020-03-30,PL,,01164,2020,PL 1164/2020,Sim
141296,http://legis.senado.gov.br/dadosabertos/materia/141296,2020-03-30,PL,,01165,2020,PL 1165/2020,Sim
141297,http://legis.senado.gov.br/dadosabertos/materia/141297,2020-03-30,PL,,01166,2020,PL 1166/2020,Sim
141298,http://legis.senado.gov.br/dadosabertos/materia/141298,2020-03-30,PL,,01167,2020,PL 1167/2020,Sim
141299,http://legis.senado.gov.br/dadosabertos/materia/141299,2020-03-30,PL,,01168,2020,PL 1168/2020,Sim
141300,http://legis.senado.gov.br/dadosabertos/materia/141300,2020-03-30,PL,,01169,2020,PL 1169/2020,Sim
141301,http://legis.senado.gov.br/dadosabertos/materia/141301,2020-03-30,PL,,01170,2020,PL 1170/2020,Sim
141302,http://legis.senado.gov.br/dadosabertos/materia/141302,2020-03-30,PL,,01171,2020,PL 1171/2020,Sim
141303,http://legis.senado.gov.br/dadosabertos/materia/141303,2020-03-30,PL,,01172,2020,PL 1172/2020,Sim
141304,http://legis.senado.gov.br/dadosabertos/materia/141304,2020-03-30,PL,,01173,2020,PL 1173/2020,Sim
141305,http://legis.senado.gov.br/dadosabertos/materia/141305,2020-03-30,PL,,01174,2020,PL 1174/2020,Sim
141306,http://legis.senado.gov.br/dadosabertos/materia/141306,2020-03-30,PL,,01179,2020,PL 1179/2020,Sim
141307,http://legis.senado.gov.br/dadosabertos/materia/141307,2020-03-30,PL,,01185,2020,PL 1185/2020,Sim
141311,http://legis.senado.gov.br/dadosabertos/materia/141311,2020-03-30,PL,,01186,2020,PL 1186/2020,Sim
141312,http://legis.senado.gov.br/dadosabertos/materia/141312,2020-03-30,PL,,01187,2020,PL 1187/2020,Sim
141315,http://legis.senado.gov.br/dadosabertos/materia/141315,2020-03-30,PL,,01188,2020,PL 1188/2020,Sim
141317,http://legis.senado.gov.br/dadosabertos/materia/141317,2020-03-31,PL,,01190,2020,PL 1190/2020,Sim
141318,http://legis.senado.gov.br/dadosabertos/materia/141318,2020-03-31,PL,,01191,2020,PL 1191/2020,Sim
